trajID	start	end	startTime	dijSol
14a35b7e7a9551c705460a856a9f9f12	47722	50199	00:00:00	[47722, 14457, 14460, 3310, 3312, 23164, 197553, 106545, 114702, 106548, 209455, 209459, 209460, 197547, 758, 760, 34603, 34605, 34608, 209508, 209470, 209482, 209509, 53457, 105140, 105143, 105144, 207550, 207553, 52009, 207562, 61393, 213650, 61395, 213646, 111241, 105154, 105136, 111227, 105124, 122196, 105155, 180220, 214267, 43559, 43565, 43248, 160697, 160698, 81195, 216494, 214265, 27609, 105119, 105122, 43489, 82156, 82252, 82181, 171208, 162812, 219483, 171210, 171209, 82887, 82886, 17031, 82884, 82880, 6668, 82877, 82874, 82873, 82294, 82869, 37366, 6385, 6612, 6614, 56346, 186177, 186178, 168881, 6424, 6400, 37347, 37348, 105138, 37460, 37464, 37490, 37491, 37502, 108121, 37349, 198918, 198915, 108202, 37420, 23207, 80387, 37364, 37365, 223174, 44500, 80398, 80399, 80402, 160114, 37643, 37651, 55003, 55004, 237266, 40887, 40902, 46467, 40922, 50289, 40954, 40958, 50223, 61641, 61646, 61650, 50282, 141076, 141082, 169395, 41660, 41680, 41677, 61657, 50056, 50044, 41642, 41641, 50224, 131635, 131630, 50218, 50200, 68140, 50150, 50144, 50146, 50174, 50199]:1021.0
03db7519ac7ada900ebd62518dc21ca1	29952	36322	00:00:00	[29952, 29953, 19644, 19646, 19647, 19649, 29958, 29954, 19684, 29930, 29933, 122064, 36535, 32320, 32316, 31959, 33196, 33189, 32645, 103168, 103157, 28725, 223294, 116661, 37344, 37343, 28715, 32853, 32848, 32849, 32691, 32856, 32857, 32858, 32859, 29088, 35080, 35084, 35087, 35088, 29063, 35091, 20175, 20176, 20177, 20178, 20180, 36322]:192.0
0b8c93101c657b0908e7ee83c0cff156	105038	16294	00:00:00	[105038, 61036, 61035, 61034, 104968, 104966, 104808, 104807, 104806, 56270, 99374, 56269, 49546, 237716, 49525, 49527, 49528, 49529, 104982, 104988, 49547, 104989, 105095, 26601, 26596, 49553, 100701, 99375, 10689, 26604, 26605, 11196, 11206, 11210, 26549, 26569, 26570, 58685, 58686, 58687, 58985, 27671, 27672, 104420, 104427, 104428, 104422, 104423, 27673, 27679, 104424, 104425, 27696, 27697, 104444, 104448, 234721, 234759, 234680, 234682, 234729, 236766, 234669, 161787, 66532, 161790, 207215, 161784, 161786, 161778, 161780, 161781, 161739, 66550, 238590, 238588, 238589, 161744, 65866, 161710, 161717, 51734, 51739, 51742, 161699, 161698, 51710, 51716, 111208, 111165, 111162, 51726, 51723, 51721, 67691, 67829, 67805, 67804, 67559, 67551, 67550, 16267, 121881, 121882, 54556, 54555, 54554, 54553, 16287, 16283, 116470, 16295, 16294]:793.0
3d57d8d31f672e6d35de668b08e703b5	17450	196936	00:00:00	[17450, 85060, 175581, 175582, 175583, 175584, 113944, 113943, 196979, 196958, 196959, 196936]:36.0
aedc62436c3653a4f172a33ad8fec46c	179943	178472	00:00:00	[179943, 180020, 81255, 81257, 170964, 81243, 155826, 41619, 70494, 70495, 25007, 25022, 115810, 113737, 134018, 21029, 116931, 100196, 181279, 181276, 181269, 181277, 115826, 179246, 179237, 37164, 116932, 116933, 173296, 105110, 105233, 45586, 45585, 45583, 45582, 105210, 105209, 113783, 27593, 27594, 178472]:93.0
e71588cd56becdec1268c3e1fef00f32	116329	150934	00:00:00	[116329, 118577, 118578, 50450, 50453, 50459, 50460, 217363, 118600, 46284, 46287, 46289, 46281, 46274, 46280, 47970, 46221, 46202, 46203, 46207, 46210, 46246, 46236, 46240, 48041, 48033, 48036, 48039, 47975, 47987, 48018, 121827, 68358, 54600, 68351, 150934]:172.0
38d3fbd5e6500d8c1357f981c61702de	92131	70066	00:00:00	[92131, 92132, 92133, 92134, 92135, 92136, 92137, 92138, 92139, 92140, 92141, 92142, 121125, 92107, 92109, 92059, 92113, 92105, 92146, 92111, 92078, 121122, 76332, 76335, 76325, 21442, 21438, 21437, 21434, 21458, 21459, 21463, 2908, 138852, 2732, 2735, 61772, 154261, 97416, 97446, 97415, 97393, 60286, 2731, 2729, 60294, 60297, 61820, 25463, 25466, 25474, 25475, 7541, 69503, 69515, 32872, 25480, 7531, 7532, 7540, 43437, 43440, 32874, 43164, 43165, 43166, 19588, 43462, 43459, 47084, 47088, 89042, 64507, 64486, 120275, 31416, 31409, 31396, 47219, 45247, 64595, 64593, 25504, 47057, 30251, 30256, 6305, 6306, 6312, 31060, 121605, 31147, 151069, 151084, 152396, 216279, 31009, 31006, 31004, 31003, 31001, 30996, 31000, 53806, 31010, 31365, 30666, 30661, 30660, 30648, 30630, 30642, 35753, 30639, 35752, 35741, 80163, 80167, 80178, 80191, 70095, 70066]:765.0
0d725e2b4b1058585b56792c56e2d8c7	148751	43906	00:00:00	[148751, 43651, 77810, 77898, 77882, 77866, 77821, 77826, 43914, 43906]:91.0
19704d430a6652a9e5c0d16bc0b079c3	74101	84986	00:00:00	[74101, 74102, 25706, 74108, 62268, 62267, 62265, 62263, 62262, 107603, 107589, 168659, 165963, 165964, 62246, 106068, 62324, 25816, 25858, 25817, 25825, 25827, 112024, 118006, 118001, 175887, 175867, 175878, 175872, 175875, 6233, 6229, 6234, 6235, 169748, 33063, 33064, 169750, 211793, 31853, 31854, 5838, 83387, 6222, 130789, 23559, 12772, 12774, 12746, 12748, 181773, 181774, 12449, 12454, 181779, 186620, 12466, 12467, 12458, 149270, 12468, 129192, 12455, 97381, 97382, 97383, 149262, 21368, 21366, 149291, 182904, 161557, 134134, 134135, 52537, 161545, 136590, 88859, 88858, 149328, 12610, 149325, 75805, 82715, 82702, 13723, 75800, 75801, 189430, 75812, 83794, 75785, 91479, 97754, 114762, 27047, 27049, 75796, 88524, 87009, 89297, 101027, 87060, 87029, 87052, 86996, 25076, 104075, 46821, 46820, 46819, 12306, 46817, 46674, 10196, 10195, 10186, 10185, 46791, 46790, 25234, 25329, 79815, 96272, 8213, 15709, 5568, 5569, 52544, 5572, 7175, 7176, 149833, 98368, 119770, 149837, 98360, 98356, 149841, 70379, 70349, 122060, 149843, 149844, 7311, 7315, 7319, 7321, 7324, 43088, 4012, 4010, 4006, 4005, 4003, 7082, 7081, 13954, 13955, 95580, 95582, 95725, 7443, 7108, 27022, 7325, 26371, 27035, 27037, 26374, 136116, 32622, 136117, 97266, 136118, 84133, 128695, 128693, 26933, 32982, 29819, 84986]:793.0
fe9637259d8a8acb1a01cbd9e9c51f94	51977	52601	00:00:00	[51977, 51825, 51881, 52005, 52006, 52010, 52043, 52041, 52036, 52035, 52034, 87967, 87965, 64286, 64277, 64264, 52596, 64256, 156283, 52601]:171.0
