248561
28366	161095	2	1
83041	83042	1	1
112804	112817	1	1
244497	244490	1	1
158526	143258	4	2
90918	102872	7	4
149236	195659	13	8
38255	38256	3	2
205449	77796	15	9
19854	39454	7	4
28923	102687	4	3
36908	36907	5	3
65708	65479	25	14
201217	232415	2	2
42664	44277	6	4
76735	76736	14	31
127065	127062	3	2
174070	174071	2	1
62928	86372	2	1
204902	89820	2	1
75277	62583	1	1
114441	80865	3	2
244497	244472	1	1
63428	111491	6	4
132977	44093	5	3
148337	148304	73	41
203571	52948	1	1
57865	58272	5	3
1986	191810	2	1
188832	226476	4	2
157561	157557	4	3
15812	246568	1	1
21078	60513	6	4
206746	206745	3	2
120636	182634	3	2
82543	140212	8	4
135139	135192	2	2
119142	119137	16	9
188044	71994	6	6
29994	225291	1	1
88524	75796	4	2
42841	42840	1	1
62632	62625	3	2
15455	15456	2	1
36980	77051	1	1
203705	69125	1	1
44852	44848	3	2
12506	12507	2	1
119142	119144	14	8
12506	12505	3	2
176493	176520	5	3
65560	65479	11	6
209081	6040	2	2
44189	2853	2	1
15812	246579	1	1
83574	30186	6	3
149997	149975	2	1
44852	44854	2	1
42974	42975	2	1
39126	39128	3	2
48427	48428	6	3
19907	19908	6	4
142112	142113	4	3
48427	48425	5	3
107486	103108	2	1
150206	150188	2	2
144488	144491	3	2
69444	69458	2	1
24429	180808	1	1
59084	59039	3	2
140400	140401	1	1
80337	222569	1	1
45583	38482	1	1
93323	93324	3	2
20625	20624	4	3
35199	35709	2	1
18097	18096	2	1
94773	188050	2	1
221893	221904	1	1
245391	43427	2	1
82815	164962	3	2
114380	202031	3	2
118031	118041	2	2
118031	118042	2	1
93323	93322	3	2
11138	48077	1	1
94372	94379	9	5
94372	94375	3	2
5118	9571	2	1
36027	168683	2	1
234413	234419	11	6
157120	60432	9	5
45370	177981	4	3
94372	94374	2	1
144488	144487	2	1
15	52815	1	1
79894	136951	1	1
233498	233502	1	1
6375	6531	2	1
140425	181081	5	3
109864	109818	1	1
238411	238392	1	1
101899	103723	5	3
93323	93312	8	5
168020	168019	1	1
164813	164814	2	1
39946	674	6	3
127162	154080	1	1
224690	89782	1	1
153023	102823	2	1
28323	83865	1	1
89487	34837	2	1
226272	221886	2	1
120275	31416	2	2
37280	37266	7	4
116072	116082	1	1
170884	170886	3	2
96901	32979	9	5
229290	229291	3	2
178430	43105	2	1
153524	247252	3	2
67370	67371	6	3
93323	93340	5	3
37280	37269	3	2
2533	61356	6	3
84775	7932	1	1
10015	664	1	1
57359	57360	2	1
173475	213717	1	1
49696	49697	1	1
43449	43450	5	5
30977	30822	1	1
32752	32753	4	2
41975	41976	4	3
108817	108818	2	1
86063	86064	2	1
108817	108816	2	1
116072	116073	1	1
3849	5463	1	1
215443	61371	1	1
92343	199764	4	2
233966	233913	3	4
170884	170874	1	1
33063	169748	2	1
118031	118032	2	2
179303	179305	5	3
135139	135143	1	1
79112	71496	1	1
208689	208685	2	1
208689	208687	2	2
162836	162838	2	1
106780	84556	2	3
162836	162837	3	2
67464	67463	6	3
114566	114625	1	1
161211	192508	7	4
44546	47487	4	3
49961	62711	14	8
58401	113905	1	1
127989	87486	1	1
172044	156757	1	1
89852	89863	1	1
241567	241564	2	1
86956	212804	81	45
89852	89867	4	2
92966	32728	1	1
121860	144203	2	1
62754	46181	3	2
160761	160760	1	1
29809	24503	2	2
59593	27946	1	1
103356	219183	1	1
16546	48925	2	1
37608	155681	12	7
121737	121744	4	3
12090	12088	2	1
32039	40534	13	7
60904	68184	6	4
60904	68183	2	1
237125	237127	4	2
165607	81800	1	1
54884	240254	2	1
36076	60834	1	1
54884	240255	2	1
1569	1557	5	3
241567	241578	2	1
156830	156796	2	1
89852	89854	4	3
52067	14481	3	2
99763	73543	3	2
64390	25908	70	78
163309	163576	8	4
194064	194065	4	3
51585	4903	1	1
194064	194062	5	3
57232	156480	4	3
99087	99090	1	1
237125	237132	1	1
64199	64198	2	1
156110	159290	5	3
191208	85307	3	2
115977	106164	2	4
190618	122143	9	6
52300	169229	3	2
123508	123507	1	1
219463	232808	1	1
141884	141885	2	2
40396	139445	3	6
45381	45382	11	6
26447	26448	1	1
79634	67004	1	1
205227	205224	12	7
24004	24003	1	1
162836	162846	4	2
11022	11021	1	1
109815	109831	3	3
24004	24005	2	1
21676	18430	3	2
209600	26380	1	1
127744	10305	10	6
26447	26444	3	2
217073	234829	15	9
15772	15773	3	2
120884	120880	26	15
239030	239031	2	1
415	414	7	4
149698	189857	4	5
83508	83510	4	2
183187	183189	8	5
171341	166403	3	2
149698	189853	2	1
183187	183188	4	3
10035	10086	6	4
34353	102110	2	1
171787	171782	1	1
126685	163535	1	1
20607	20608	9	5
49992	49993	11	6
206541	206540	1	1
171787	171788	3	2
20607	20609	20	11
20607	20606	5	3
147112	147107	2	1
15622	55317	5	6
31441	31436	26	15
74065	74063	2	1
7545	15102	1	1
147112	147109	6	4
60109	60114	40	66
99087	99039	1	1
183751	183753	5	3
160254	205360	4	2
18008	71242	6	4
78942	11433	3	2
95438	13442	7	4
95438	13444	9	10
217073	234856	7	4
48879	187709	4	2
139792	139784	2	1
81707	81706	12	7
189728	194407	2	1
90023	90025	5	3
81707	81708	2	2
160198	160255	5	3
120804	120802	9	5
150539	150541	2	1
197120	165877	1	1
18094	22718	7	4
74337	74611	1	1
135158	42479	1	1
130633	10227	1	1
122603	218691	3	2
59228	59229	2	1
112116	127309	4	2
90214	34626	2	2
430	431	1	1
10035	10068	4	2
31441	31452	3	2
71900	60837	2	1
29686	235544	1	1
7889	671	10	6
189728	194411	6	4
16136	67087	5	3
7019	7018	4	2
103908	218051	1	1
122811	11868	6	3
120687	139747	43	24
86711	96287	1	1
158275	158266	7	4
13191	13167	2	2
135307	135308	1	1
123508	123546	2	1
123508	123545	2	1
196212	68966	1	1
87047	87048	3	2
43947	85794	3	2
131689	77548	1	1
224468	224469	1	1
214812	162863	4	2
215938	61779	1	1
216365	6474	1	1
208713	208709	1	1
110519	110472	32	18
47231	47230	4	3
110519	110471	2	1
59228	59230	1	1
59228	59233	2	1
112557	112547	6	3
63176	62486	5	3
63176	62487	4	2
147112	147135	2	1
43193	106588	1	1
123061	123065	4	2
4135	4137	4	3
7019	7020	7	4
101999	101998	31	17
233375	233633	1	1
114690	114692	2	1
41341	94576	14	15
233375	233632	4	2
148670	148671	1	1
117582	22305	22	13
14205	4938	1	1
46201	46218	1	1
149491	149488	6	4
173768	102928	4	3
11269	11343	7	4
55479	55480	1	1
173245	173243	3	2
49702	234947	1	1
84001	181671	1	1
146475	102061	3	2
173245	173244	2	1
87020	87040	9	5
111683	85929	3	2
146954	145986	4	2
236589	236607	4	2
191288	240673	4	3
145264	75705	1	1
223112	223080	1	1
170387	170398	2	2
238411	238408	3	2
46201	46202	1	1
145446	226331	2	1
149491	149493	3	2
198786	108203	10	17
170942	195201	16	9
77412	238846	3	2
156596	200361	3	2
10035	10040	14	8
45957	177784	1	1
116988	94530	3	2
94271	94272	2	2
15723	148606	1	1
10058	10061	7	4
194963	194965	5	5
94362	94371	2	1
13191	13193	2	2
52794	52793	15	9
52126	52124	4	2
52794	52795	12	7
49730	49733	5	3
94271	94268	4	2
176276	176277	5	3
132847	132823	3	2
49730	49731	3	2
74712	74714	3	2
7374	42093	6	4
172309	172313	2	1
243751	190052	2	1
243751	190053	2	1
95647	168620	3	2
10498	185958	8	5
171118	25801	1	1
99087	99130	5	3
20343	23254	12	7
83146	145269	1	1
122901	122902	1	1
67769	67768	2	1
26404	26400	3	2
94362	94361	2	1
215163	244659	3	2
7531	43453	1	1
206243	206210	4	2
83146	145268	1	1
94362	94365	3	2
26404	26406	1	1
96344	48785	10	6
64898	182217	5	3
107744	112124	3	2
9785	9768	1	1
49702	234957	1	1
244905	189438	2	1
176202	176156	3	2
196247	30208	1	1
167231	167233	2	1
190023	2090	8	5
236589	236637	4	2
67769	67771	1	1
51573	5225	5	3
29198	29196	3	2
241579	241561	9	5
241579	241562	2	1
25672	25731	2	1
12305	46683	11	7
218763	218760	2	2
761	38144	8	5
169307	59227	9	5
181684	100204	1	1
79281	79280	2	1
123554	123556	4	2
169198	194831	1	1
123554	123553	1	1
79281	79282	1	1
211707	211705	1	1
17214	146527	1	1
124401	124399	6	4
20102	7758	4	3
147826	147827	1	1
4064	137831	1	1
72360	72353	18	10
225248	79699	16	18
92901	178279	2	1
176048	176074	1	1
129042	179407	15	8
206862	206873	4	2
46172	11592	9	5
9284	122089	6	3
163747	163742	2	1
61706	194408	12	7
1820	111396	1	1
60954	75258	2	1
12305	46690	1	1
227297	227292	22	13
169198	194846	1	1
145811	108642	1	1
114645	114542	1	1
145811	108640	1	1
227297	227298	3	2
147643	224381	5	3
38468	210223	1	1
71300	71301	3	2
3611	3612	10	6
13398	246980	1	1
86053	91513	3	2
15084	15088	6	4
67464	67420	2	1
149412	10138	5	3
35831	121361	1	1
102026	89441	2	1
95647	168619	1	1
13503	239703	1	1
13503	239704	4	2
27729	27698	2	1
199024	239695	1	1
151084	151069	1	1
114562	108380	1	1
196948	196946	3	2
1569	1572	14	8
170387	170388	1	1
64199	64200	4	2
562	163294	7	4
164751	164750	2	1
122703	122670	2	1
96861	96901	1	1
130066	183011	2	1
87781	87782	1	1
23735	885	1	1
100723	101608	3	2
66249	66910	4	2
43654	43653	2	1
178521	178522	2	1
245733	245729	2	2
189940	130197	1	1
173594	173565	1	1
145798	145801	2	2
173594	173567	1	1
38744	104040	1	1
107543	27408	1	1
147532	24723	7	4
43654	43657	11	7
196948	196951	1	1
56306	157125	9	5
94266	60473	2	1
196948	196952	6	4
89136	189633	1	1
83136	184382	11	6
73399	141662	1	1
89821	187027	1	1
120804	120872	9	5
29667	29668	3	2
144186	144547	4	2
23735	879	2	1
209649	208739	4	2
188380	188379	1	1
201656	207739	3	2
157195	34875	3	2
124552	239673	1	1
6832	22809	3	2
117093	116476	5	3
123403	123402	3	2
35799	34954	6	4
228813	29456	2	2
138283	69069	1	1
144300	90938	2	1
106985	106984	4	2
58684	86546	1	1
193847	163544	1	1
45353	45354	2	1
32035	32027	1	1
45353	45352	2	1
109799	239452	1	1
51216	51218	21	12
127769	128273	2	1
103086	103082	1	1
103086	103084	1	1
118945	118944	1	1
13763	42740	12	7
19947	138742	2	1
48769	48910	3	2
33973	59513	2	2
43658	131920	2	1
22518	22522	4	3
233498	233538	3	2
64249	64246	7	4
135139	135134	1	1
14948	89317	3	2
7885	7886	2	1
78943	83899	15	8
34077	2803	4	2
50544	20762	32	18
57188	20365	4	2
26044	135546	1	1
186243	124290	2	1
178292	3569	4	3
9273	185127	22	12
103086	103073	1	1
234063	234069	4	3
194306	15019	13	7
135242	135229	1	1
25298	25299	2	1
57951	180682	1	1
148337	148244	36	20
79101	79102	2	1
176493	176482	12	7
22518	22517	3	2
68556	68593	3	2
79101	79100	2	1
236728	236735	2	1
200714	200718	13	8
177179	177171	3	2
46812	38737	21	12
100484	165990	6	3
156209	156204	1	1
164030	164029	2	1
186737	186734	1	1
156209	156205	3	2
238608	238606	3	2
63373	86527	5	3
186519	215062	5	3
56219	56215	13	8
164030	164024	2	1
102975	102976	1	1
160807	160809	11	7
87100	124231	2	1
102975	102973	2	1
78951	78949	4	3
44885	44888	2	1
124115	15595	1	1
160807	160805	8	5
211707	211720	5	3
62821	138115	8	5
211691	211664	2	1
78596	78591	6	4
63373	86525	10	6
101951	101952	1	1
138426	138427	1	1
58030	57274	2	1
173872	63735	4	3
206651	133895	22	12
209382	197565	1	1
211707	211716	5	3
86608	86331	8	5
164030	164035	1	1
116932	179235	1	1
50223	40958	7	4
44895	44890	3	2
32035	32033	3	2
238608	238610	3	2
188832	226510	1	1
68288	65460	3	2
59342	59360	3	2
44885	44877	5	3
146835	146837	4	2
32915	32912	3	2
165627	165626	1	1
46812	46675	2	1
176202	176180	3	2
44998	148636	3	2
46812	46674	2	1
34523	34526	2	1
8472	8473	1	1
231838	232697	2	1
133145	20553	9	5
88065	88064	1	1
88065	88066	1	1
194819	191167	1	1
170134	162108	2	1
34865	146442	2	1
7367	7366	6	3
38257	11886	1	1
114027	103642	12	7
118644	3265	4	5
7367	7368	2	1
49730	49727	7	4
39500	39501	2	1
236728	236729	3	2
61269	61141	6	3
236728	236727	2	1
6692	6693	1	1
94768	169001	3	2
231838	232689	2	1
107109	107108	1	1
137808	30470	5	5
57912	57367	2	1
59525	26354	1	1
205072	20481	21	12
86433	60508	6	3
178744	178734	3	2
156209	156236	2	1
87100	124227	21	12
226868	109594	46	26
38011	36799	2	1
107952	107965	1	1
70764	70760	5	3
34180	25546	25	14
87020	87015	6	4
159541	36836	2	1
44895	44877	1	1
32168	32166	2	1
